번호,명칭,소재지,지정일
229호,창경궁 자격루(昌慶宮 自擊漏)(Clepsydra of Changgyeonggung Palace),서울 중구 세종대로 99 (정동),1985년8월 9일지정
230호,혼천의 및 혼천시계(渾天儀 및 渾天時計)(Celestial Globe and Armillary Clock),"서울 성북구 안암로 145, 고려대학교박물관 (안암동5가,고려대학교안암캠퍼스(인문사회계))",1985년8월 9일지정
231호,전 영암 거푸집 일괄(傳 靈巖 鎔范一括)(Bronze Age Moulds from Yeongam (Presumed)),"서울 동작구 상도로 369, 한국기독교박물관 (상도동,숭실대학교)",1986년3월 14일지정
232호,이화 개국공신녹권(李和 開國功臣錄券)(Certificate of Meritorious Subject Issued to Yi Hwa),전북 정읍시,"1986년10월 15일지정,2010년8월 25일명칭변경"
233-1호,산청 석남암사지 석조비로자나불좌상(山淸 石南巖寺址 石造毘盧遮那佛坐像),"경남 산청군 삼장면 대하내원로 256, 내원사 (대포리)",2016년1월 7일지정
233-2호,산청 석남암사지 석조비로자나불좌상 납석사리호(山淸 石南巖寺址 石造毘盧遮那坐像 蠟石舍利壺),"부산 남구 유엔평화로 63, 부산시립박물관 (대연동,부산광역시시립박물관)","1986년10월 15일지정,2016년7월 1일지정명칭 및 번호 변경"
234호,감지은니묘법연화경(紺紙銀泥妙法蓮華經)(Transcription of Saddharmapundarika Sutra (The Lotus Sutra) in Silver on Indigo Paper),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)","1986년11월 29일지정,2010년8월 25일명칭변경"
235호,감지금니대방광불화엄경보현행원품(紺紙金泥大方廣佛華嚴經普賢行願品)(Transcription of Avatamsaka Sutra(The Flower Garland Sutra) in Gold on Indigo Paper),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1986년11월 29일지정
236호,"경주 장항리 서 오층석탑(慶州 獐項里 西 五層石塔)(West Five-story Stone Pagoda in Janghang-ri, Gyeongju)",경북 경주시 양북면 장항리 1083,"1987년3월 9일지정,2010년12월 27일명칭변경"
237호,고산구곡시화도 병풍(高山九曲詩畵圖 屛風)(Folding Screen of Gosan gugok sihwado(Poems and Paintings of the Nine Scenic Valleys of Gosan)),"서울 종로구 인사동10길 17, 동방화랑 (관훈동)",1987년7월 16일지정
238호,소원화개첩(小苑花開帖)(Sowon hwagaecheop(Calligraphy by Prince Anpyeong)),"서울 종로구 인사동10길 17, 동방화랑 (관훈동)",1987년7월 16일지정
239호,송시열 초상(宋時烈 肖像)(Portrait of Song Si-yeol),"서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1987년12월 26일지정
240호,윤두서 자화상(尹斗緖 自畵像)(Self-portrait by Yun Du-seo),전남 해남군,1987년12월 26일지정
241호,"초조본 대반야바라밀다경 권249(初雕本 大般若波羅蜜多經 卷二百四十九)(Maha prajnaparamita Sutra (Perfection of Transcendental Wisdom), the First Tripitaka Koreana Edition, Volume 249)","경기 용인시 처인구 포곡읍 에버랜드로562번길 38, 호암미술관 (가실리)","1988년6월 16일지정,2010년8월 25일명칭변경"
242호,"울진 봉평리 신라비(蔚珍 鳳坪里 新羅碑)(Silla Monument in Bongpyeong-ri, Uljin)",경북 울진군 죽변면 봉평리 521,"1988년11월 4일지정,2010년12월 27일명칭변경"
243호,"초조본 현양성교론 권11(初雕本 顯揚聖敎論 卷十一)(Prakaranaryavaca Sastra (Acclamation of the Holy Teaching), the First Tripitaka Koreana Edition, Volume 11)","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)","1988년12월 28일지정,2010년8월 25일명칭변경"
244호,"초조본 유가사지론 권17(初雕本 瑜伽師地論 卷第十七)(Yogacarabhumi Sastra (Discourse on the Stages of Yogic Practice), the First Tripitaka Koreana Edition, Volume 17)","경기 용인시 처인구 명지로 116, 박물관 (남동)","1988년12월 28일지정,2010년8월 25일명칭변경"
245호,"초조본 신찬일체경원품차록 권20(初雕本 新纘一切經源品次綠 卷二十)(Index of Tripitaka, the First Tripitaka Koreana Edition, Volume 20)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)","1988년12월 28일지정,2010년8월 25일명칭변경"
246호,"초조본 대보적경 권59(初雕本 大寶積經 卷五十九)(Maharatnakuta Sutra (Sutra of the Great Accumulation of Treasures), the First Tripitaka Koreana Edition, Volume 59)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)","1988년12월 28일지정,2010년8월 25일명칭변경"
247호,"공주의당금동보살입상(公州儀堂金銅菩薩立像)(Gilt-bronze Standing Bodhisattva from Uidang-myeon, Gongju)","충남 공주시 관광단지길 34, 국립공주박물관 (웅진동)",1989년4월 10일지정
248호,조선방역지도(朝鮮方域之圖)(Joseon bangyeok jido (Map of the Korean Territory)),"경기 과천시 교육원로 86, 국사편찬위원회 (중앙동,국사편찬위원회)",1989년8월 1일지정
249-1호,동궐도(東闕圖)(Donggwoldo (The Eastern Palaces)),서울 성북구,"1989년8월 1일지정,2012년11월 13일번호변경"
250호,이원길 개국원종공신녹권(李原吉 開國原從功臣錄券)(Certificate of Meritorious Subject Issued to Yi Won-gil),"서울 서대문구 충정로9길 10-10, (재)아단문고 (충정로2가)","1989년8월 1일지정,2010년8월 25일명칭변경"
251호,"초조본 대승아비달마잡집론 권14(初雕本 大乘阿毗達磨雜集論 卷十四)(Mahayana abhidharma samucchaya vyakhya (Collection of the Mahayana Abhidharma), the First Tripitaka Koreana Edition, Volume 14)","서울 서대문구 충정로9길 10-10, (재)아단문고 (충정로2가)","1989년8월 1일지정,2010년8월 25일명칭변경"
252호,"청자 음각‘효문’명 연화문 매병(靑磁 陰刻‘孝文’銘 蓮花文 梅甁)(Celadon Prunus Vase with Incised Lotus Design and Inscription of ""Hyomun"")","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
253호,"청자 양각연화당초상감모란문 은테 발(靑磁 陽刻蓮花唐草象嵌牡丹文 銀釦 鉢)(Celadon Bowl with Silver Lip, Lotus and Scroll Design in Relief, and Inlaid Peony Design)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1990년5월 21일지정
254호,청자 음각연화문 유개매병(靑磁 陰刻蓮花文 有蓋梅甁)(Celadon Lidded Prunus Vase with Incised Lotus Design),서울 서초구,1990년5월 21일지정
255호,전 덕산 청동방울 일괄(傳 德山 靑銅鈴一括)(Bronze Bells from Deoksan (Presumed)),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1990년5월 21일지정
256호,"초조본 대방광불화엄경 주본 권1(初雕本 大方廣佛華嚴經 周本 卷一)(Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, the First Tripitaka Koreana Edition, Volume 1)","경기 용인시 기흥구 상갈로 6, 경기도박물관 (상갈동)","1990년9월 20일지정,2010년8월 25일명칭변경"
257호,"초조본 대방광불화엄경 주본 권29(初雕本 大方廣佛華嚴經 周本 卷二十九)(Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, the First Tripitaka Koreana Edition, Volume 29)","충북 단양군 구인사길 73 (영춘면, 구인사)","1990년9월 20일지정,2010년8월 25일명칭변경"
258호,백자 청화죽문 각병(白磁 靑畵竹文 角甁)(White Porcelain Octagonal Bottle with Bamboo Design in Underglaze Cobalt Blue),서울 용산구,1991년1월 25일지정
259호,분청사기 상감운룡문 항아리(粉靑沙器 象嵌雲龍文 立壺)(Buncheong Jar with Inlaid Cloud and Dragon Design),"서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1991년1월 25일지정
260호,분청사기 박지철채모란문 자라병(粉靑沙器 剝地鐵彩牡丹文 扁甁)(Buncheong Turtle-shaped Bottle with Sgraffito Peony Design in Underglaze Iron),"서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1991년1월 25일지정
261호,백자 유개항아리(白磁 有蓋壺)(White Porcelain Lidded Jar),"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1991년1월 25일지정
262호,백자 달항아리(白磁 壺)(White Porcelain Moon Jar),"경기 용인시 처인구 용인대학로 134, 용인대학교 박물관 (삼가동)",1991년1월 25일지정
263호,"백자 청화산수화조문 항아리(白磁 靑畵山水花鳥文 立壺)(White Porcelain Jar with Landscape, Flower and Bird Design in Underglaze Cobalt Blue)","경기 용인시 처인구 용인대학로 134, 용인대학교박물관 (삼가동)",1991년1월 25일지정
264호,"포항 냉수리 신라비(浦項 冷水里 新羅碑)(Silla Monument in Naengsu-ri, Pohang)",경북 포항시 북구 신광면 토성리 342-1 신광면사무소,"1991년3월 15일지정,2010년12월 27일명칭변경"
265호,"초조본 대방광불화엄경 주본 권13(初雕本 大方廣佛華嚴經 周本 卷十三)(Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, the First Tripitaka Koreana Edition, Volume 13)",서울 종로구,"1991년7월 12일지정,2010년8월 25일명칭변경"
266호,"초조본 대방광불화엄경 주본 권2,75(初雕本 大方廣佛華嚴經 周本 卷二, 七十五)(Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, the First Tripitaka Koreana Edition, Volumes 2 and 75)","서울 관악구 남부순환로152길 53, 호림박물관 (신림동,호림박물관)","1991년7월 12일지정,2010년8월 25일명칭변경"
267호,"초조본 아비달마식신족론 권12(初雕本 阿毗達磨識身足論 卷十二)(Abhidharma vijnana kaya pada Sastra (Discourse on Consciousness Body), the First Tripitaka Koreana Edition, Volume 12)","서울 관악구 남부순환로152길 53, 호림박물관 (신림동,호림박물관)","1991년7월 12일지정,2010년8월 25일명칭변경"
268호,"초조본 아비담비파사론 권11, 17(初雕本 阿毗曇毗婆沙論 卷十一, 十七)(Abhidharma vibhasa Sastra (Explanatory of the Abhidharma), the First Tripitaka Koreana Edition, Volumes 11 and 17)","서울 관악구 남부순환로152길 53, 호림박물관 (신림동,호림박물관)","1991년7월 12일지정,2010년8월 25일명칭변경"
269호,"초조본 불설최상근본대락금강불공삼매대교왕경 권6(初雕本 佛說最上根本大樂金剛不空三昧大敎王經 卷六)(Ardhasatika prajnaparamita Sutra, the First Tripitaka Koreana Edition, Volume 6)","서울 관악구 남부순환로152길 53, 호림박물관 (신림동,호림박물관)","1991년7월 12일지정,2010년8월 25일명칭변경"
270호,청자 모자원숭이모양 연적(靑磁 母子猿形 硯滴)(Celadon Water Dropper in the Shape of Mother and Baby Monkeys),"서울 성북구 성북로 102-11, 간송미술관 (성북동)",1992년4월 20일지정
271호,"초조본 현양성교론 권12(初雕本 顯揚聖敎論 卷十二)(Prakaranaryavaca Sastra (Acclamation of the Holy Teaching), the First Tripitaka Koreana Edition, Volume 12)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)","1992년4월 20일지정,2010년8월 25일명칭변경"
272호,"초조본 유가사지론 권32(初雕本 瑜伽師地論 卷三十二)(Yogacarabhumi Sastra (Discourse on the Stages of Yogic Practice), the First Tripitaka Koreana Edition, Volume 32)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)","1992년4월 20일지정,2010년8월 25일명칭변경"
273호,"초조본 유가사지론 권15(初雕本 瑜伽師地論 卷十五)(Yogacarabhumi Sastra (Discourse on the Stages of Yogic Practice), the First Tripitaka Koreana Edition, Volume 15)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)","1992년7월 28일지정,2010년8월 25일명칭변경"
275호,도기 기마인물형 뿔잔(陶器 騎馬人物形 角杯)(Earthenware Horn Cup in the Shape of a Warrior on Horseback),"경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)",1993년1월 15일지정
276호,"초조본 유가사지론 권53(初雕本 瑜伽師地論 卷五十三)(Yogacarabhumi Sastra (Discourse on the Stages of Yogic Practice), the First Tripitaka Koreana Edition, Volume 53)","인천 연수구 청량로102번길 40-9, 가천박물관 (옥련동)","1993년4월 27일지정,2010년8월 25일명칭변경"
277호,"초조본 대방광불화엄경 주본 권36(初雕本 大方廣佛華嚴經 周本 卷三十六)(Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, the First Tripitaka Koreana Edition, Volume 36)",강원 원주시,"1993년4월 27일지정,2010년8월 25일명칭변경"
279호,"초조본 대방광불화엄경 주본 권74(初雕本 大方廣佛華嚴經 周本 卷七十四)(Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, the First Tripitaka Koreana Edition, Volume 74)",충북 단양군,"1993년6월 15일지정,2010년8월 25일명칭변경"
280호,"성거산 천흥사명 동종(聖居山天興寺銘銅鍾)(Bronze Bell with Inscription of ""Cheonheungsa Temple"" in Seonggeosan Mountain)","서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1993년9월 10일지정
281호,백자 병형 주전자(白磁 甁形 注子)(White Porcelain Bottle-shaped Ewer),"서울 관악구 남부순환로152길 53, 호림박물관 (신림동,호림박물관)",1993년9월 10일지정
282호,"영주 흑석사 목조아미타여래좌상 및 복장유물(榮州 黑石寺 木造阿彌陀如來 坐像 및 腹藏遺物)(Wooden Seated Amitabha Buddha and Excavated Relics of Heukseoksa Temple, Yeongju)","경북 영주시 이산면 이산로 390-40, 흑석사, 대구 수성구 청호로 321 국립대구박물관 (석포리)","1993년11월 5일지정,2010년6월 28일명칭변경"
283호,통감속편(通鑑續編)(Tonggam sokpyeon (Supplement to the Comprehensive Mirror for Aid in Government)),"경기 성남시 분당구 하오개로 323, 한국학중앙연구원 (운중동)",1995년3월 10일지정
284호,"초조본 대반야바라밀다경 권162, 170, 463(初雕本 大般若波羅蜜多經 卷一百六二, 一百七十, 四百六十三)(Maha prajnaparamita Sutra (Perfection of Transcendental Wisdom), the First Tripitaka Koreana Edition, Volumes 162, 170, and 463)",서울 강남구,"1995년3월 10일지정,2010년8월 25일명칭변경"
285호,"울주 대곡리 반구대 암각화(蔚州 大谷里 盤龜臺 岩刻畫)(Petroglyphs of Bangudae Terrace in Daegok-ri, Ulju)",울산 울주군 언양읍 반구대안길 285 (대곡리 991번지),"1995년6월 23일지정,2010년12월 27일명칭변경"
286호,"백자 ‘천’ ‘지’ ‘현’ ‘황‘명 발(白磁 ‘天’‘地’‘玄’‘黃’銘 鉢)(White Porcelain Bowls with Inscription of ""Cheon (天),"" ""Ji (地),"" ""Hyeon (玄),"" and ""Hwang (黃)"")","서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)",1995년12월 4일지정
287호,백제 금동대향로(百濟金銅大香爐)(Great Gilt-bronze Incense Burner of Baekje),"충남 부여군 부여읍 금성로 5, 국립부여박물관 (동남리,국립부여박물관)",1996년5월 30일지정
288호,"부여 능산리사지 석조사리감(扶餘 陵山里寺址 石造舍利龕)(Stone Reliquary from Temple Site in Neungsan-ri, Buyeo)","충남 부여군 부여읍 금성로 5, 국립부여박물관 (동남리,국립부여박물관)",1996년5월 30일지정
289호,"익산 왕궁리 오층석탑(益山 王宮里 五層石塔)(Five-story Stone Pagoda in Wanggung-ri, Iksan)",전북 익산시 왕궁면 왕궁리 산80-1,"1997년1월 1일지정,2010년12월 27일명칭변경"
290호,"양산 통도사 대웅전 및 금강계단(梁山 通度寺 大雄殿 및 金剛戒壇)(Daeungjeon Hall and Ordination Platform of Tongdosa Temple, Yangsan)","경남 양산시 하북면 통도사로 108, 통도사 (지산리)",1997년1월 1일지정
291호,"용감수경 권3~4(龍龕手鏡 卷三~四)(Yonggam sugyeong (The Handy Mirror in the Dragon Shrine), Volumes 3 and 4)","서울 성북구 안암로 145, 중앙도서관 (안암동5가,고려대학교안암캠퍼스(인문사회계))","1997년1월 1일지정,2010년8월 25일명칭변경"
292호,"평창 상원사 중창권선문(平昌 上院寺 重創勸善文)(Documents of Sangwonsa Temple, Pyeongchang)",강원 평창군 진부면 동산리 63 월정사 성보박물관,"1997년1월 1일지정,2010년8월 25일명칭변경"
293호,"부여 규암리 금동관음보살입상(扶餘 窺岩里 金銅觀音菩薩立像)(Gilt-bronze Standing Avalokitesvara Bodhisattva from Gyuam-ri, Buyeo)","충남 부여군 부여읍 금성로 5, 국립부여박물관 (동남리,국립부여박물관)","1997년1월 1일지정,2010년6월 28일명칭변경"
294호,"백자 청화철채동채초충문 병(白磁 靑畵鐵彩銅彩草蟲文 甁)(White Porcelain Bottle with Grass and Insect Design in Underglaze Iron, Copper, and Cobalt Blue)","서울 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",1997년1월 1일지정
295호,"나주 신촌리 금동관(羅州 新村里 金銅冠)(Gilt-bronze Crown from Sinchon-ri, Naju)","전라남도나주시반남면신촌리 277,국립나주박물관(신촌리, 국립나주박물관)",1997년9월 22일지정
296호,칠장사오불회괘불탱(七長寺五佛會掛佛幀)(Hanging Painting of Chiljangsa Temple (Five Buddhas)),"경기 안성시 죽산면 칠장로 399-18, 칠장사 (칠장리)",1997년9월 22일지정
297호,안심사 영산회 괘불탱(安心寺 靈山會 掛佛幀)(Hanging Painting of Ansimsa Temple (The Vulture Peak Assembly)),"충북 청원군 남이면 사동길 169-28, 안심사 (사동리)",1997년9월 22일지정
298호,갑사삼신불괘불탱(甲寺三身佛掛佛幀)(Hanging Painting of Gapsa Temple (Buddha Triad)),충남 공주시 계룡면 갑사로 567-3 갑사,1997년9월 22일지정
299호,신원사노사나불괘불탱(新元寺盧舍那佛掛佛幀)(Hanging Painting of Sinwonsa Temple (Rocana Buddha)),"충남 공주시 계룡면 신원사동길 1, 신원사 (양화리)",1997년9월 22일지정
300호,장곡사미륵불괘불탱(長谷寺彌勒佛掛佛幀)(Hanging Painting of Janggoksa Temple (Maitreya Buddha)),"충남 청양군 대치면 장곡길 241, 장곡사 (장곡리)",1997년9월 22일지정
301호,화엄사영산회괘불탱(華嚴寺靈山會掛佛幀)(Hanging Painting of Hwaeomsa Temple (The Vulture Peak Assembly)),"전남 구례군 마산면 화엄사로 539,화엄사 (황전리)",1997년9월 22일지정
302호,청곡사영산회괘불탱(靑谷寺靈山會掛佛幀)(Hanging Painting of Cheonggoksa Temple (The Vulture Peak Assembly)),"경남 진주시 금산면 월아산로1440번길 138,청곡사문화박물관 (갈전리)",1997년9월 22일지정
303호,승정원일기(承政院日記)(Seungjeongwon ilgi (Diaries of the Royal Secretariat)),서울 관악구,1999년4월 9일지정
304호,"여수 진남관(麗水 鎭南館)(Jinnamgwan Hall, Yeosu)",전남 여수시 동문로 11 (군자동),2001년4월 17일지정
305호,"통영 세병관(統營 洗兵館)(Sebyeonggwan Hall, Tongyeong)",경남 통영시 세병로 27(문화동),2002년10월 14일지정
306호,"삼국유사 권3~5(三國遺事 卷三~五)(Samguk yusa (Memorabilia of the Three Kingdoms), Volumes 3-5)",서울 종로구,"2003년2월 3일지정,2010년8월 25일명칭변경"
306-2호,삼국유사(三國遺事)(Samguk yusa (Memorabilia of the Three Kingdoms)),"서울 관악구 관악로 1,103호 동 서울대학교 규장각한국학연구원(신림동,서울대학교)","2003년4월 14일지정,2010년8월 25일명칭변경"
306-3호,"삼국유사 권1~2(三國遺事 卷一~二)(Samguk yusa (Memorabilia of the Three Kingdoms), Volumes 1-2)",서울 서대문구 연세로 50,2018년2월 22일지정
307호,"태안 동문리 마애삼존불입상(泰安 東門里 磨崖三尊佛立像)(Rock-carved Standing Buddha Triad in Dongmun-ri, Taean)",충남 태안군 태안읍 원이로 78-132(동문리),"2004년8월 31일지정,2010년8월 25일명칭 변경"
308호,"해남 대흥사 북미륵암 마애여래좌상(海南 大興寺 北彌勒庵 磨崖如來坐像)(Rock-carved Seated Buddha at Bungmireugam Hermitage of Daeheungsa Temple, Haenam)",전남 해남군 삼산면 구림리 산8-1북미륵암,"2005년9월 28일지정,2010년8월 25일명칭 변경"
311호,"안동 봉정사 대웅전(安東 鳳停寺 大雄殿)(Daeungjeon Hall of Bongjeongsa Temple, Andong)",경북 안동시 서후면 봉정사길 222 (태장리),2009년6월 30일지정
312호,"경주 남산 칠불암 마애불상군(慶州 南山 七佛庵 磨崖佛像群)(Rock-carved Buddhas at Chilburam Hermitage in Namsan Mountain, Gyeongju)",경북 경주시 남산동 산36-4,2009년9월 2일지정
313호,"강진 무위사 극락전 아미타여래삼존벽화(康津 無爲寺 極樂殿 阿彌陀如來三尊壁畵)(Mural Painting in Geungnakjeon Hall of Muwisa Temple, Gangjin (Amitabha Buddha Triad))",전남 강진군 성전면 월하리 1194,2009년9월 2일지정
314호,"순천 송광사 화엄경변상도(順天 松廣寺 華嚴經變相圖)(Buddhist Painting of Songgwangsa Temple, Suncheon (Illustration of the Avatamsaka Sutra))","전남 순천시 송광면 송광사안길 100,송광사 (신평리)",2009년9월 2일지정
48-2호,"평창 월정사 석조보살좌상(平昌 月精寺 石造菩薩坐像)(Stone Seated Bodhisattva of Woljeongsa Temple, Pyeongchang)","강원 평창군 진부면 오대산로 374-8,월정사 (동산리)",2017년1월 2일지정
315호,"문경 봉암사 지증대사탑비(聞慶 鳳巖寺 智證大師塔碑)(Stele for Buddhist Monk Jijeung at Bongamsa Temple, Mungyeong)","경북 문경시 가은읍 원북길 313,봉암사 (원북리)","2010년1월 4일지정,2010년12월 27일명칭변경"
316호,"완주 화암사 극락전(完州 花巖寺 極樂殿)(Geungnakjeon Hall of Hwaamsa Temple, Wanju)",전북 완주군 경천면 가천리 1078,2011년11월 28일지정
317호,조선태조어진(朝鮮太祖御眞)(Portrait of King Taejo of Joseon),전북 전주시 완산구 태조로 44어진박물관,2012년6월 29일지정
318호,포항 중성리 신라비(浦項 中城里 新羅碑),경북 경주시 불국로 132,2015년4월 22일지정
319-1호,동의보감(東醫寶鑑),서울 서초구,2015년6월 22일지정
320호,"월인천강지곡 권상(月印千江之曲 卷上)(Worin cheongangjigok (Songs of the Moon's Reflection on a Thousand Rivers), Volume 1)","경기도 성남시 분당구 하오개로 323 (운중동, 한국학중앙연구원)",2017년1월 2일지정
321호,문경 대승사 목각아미타여래설법상(聞慶 大乘寺 木刻阿彌陀如來說法像),"경북 문경시 대승사길 283 (산북면, 대승사)",2017년8월 31일지정
322-1호,삼국사기(三國史記),"경상북도 경주시 안강읍 옥산서원길 216-27 (안강읍, 옥산서원)",2018년2월 22일지정
323호,"논산 관촉사 석조미륵보살입상(論山 灌燭寺 石造彌勒菩薩立像)(Stone constraction of the standing statue of Maitreya Bodhisattva in Gwanchoksa Temple, Nonsan)","충청남도 논산시 관촉로1번길 25 (관촉동, 관촉사)",2018년4월 20일지정
324호,이제 개국공신교서(李濟 開國功臣敎書),경남 산청군 단성면 지리산대로2897번길 23 (남사리)(국립진주박물관),2018년6월 27일지정
325호,기사계첩(耆社契帖)(Gisa gyecheop (Album of Paintings of the Gathering of Elders)),서울 용산구 서빙고로 137,2019년3월 6일지정
326호,청자 순화4년명 항아리(靑磁 淳化四年銘 壺),서울 서대문구 이화여대길 52 이화여자대학교 박물관,2019년5월 2일지정
327호,부여 왕흥사지 출토 사리기(扶餘 王興寺址 出土 舍利器),충남 부여군 규암면 충절로 2316번길 34,2019년6월 26일지정
328호,예천 용문사 대장전과 윤장대(醴泉 龍門寺 大藏殿과 輪藏臺),경북 예천군 용문면 용문사길 285-30(내지리 391번지),2019년12월 2일지정
329호,공주 충청감영 측우기(公州 忠淸監營 測雨器),"서울 동작구 여의대방로 16길, 기상청",2020년2월 27일지정
330호,대구 경상감영 측우대(大邱 慶尙監營 測雨臺),"서울 동작구 여의대방로 16길, 기상청",2020년2월 27일지정
331호,창덕궁 이문원 측우대(昌德宮 摛文院 測雨臺),"서울 종로구 효자로 12, 국립고궁박물관",2020년2월 27일지정
332호,정선 정암사 수마노탑(旌善 淨岩寺 水瑪瑙塔),강원도 정선군 함백산로 1410,2020년6월 25일지정
333호,합천 해인사 건칠희랑대사좌상(陜川 海印寺 乾漆希朗大師坐像),"경남 합천군 가야면 해인사길 122, (치인리, 해인사)",2020년10월 21일지정
334호,기사계첩 및 함(耆社契帖및 函),충청남도 아산시,2020년12월 22일지정
335호,이십공신회맹축-보사공신녹훈후(二十功臣會盟軸-保社功臣錄勳後),경기도 성남시,2021년2월 17일지정
336호,구례 화엄사 목조비로자나삼신불좌상(求禮 華嚴寺 木造毘盧遮那三身佛坐像),전라남도 구례군,2021년6월 23일지정
1호,"서울 흥인지문(서울 興仁之門)(Heunginjimun Gate, Seoul)",서울 종로구 종로 288 (종로6가),1963년1월 21일지정
2호,옛 보신각 동종(舊普信閣 銅鍾)(Old Bronze Bell of Bosingak Pavilion),"서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)",1963년1월 21일지정
3호,"서울 원각사지 대원각사비(서울 圓覺寺址 大圓覺寺碑)(Stele for the Construction of Daewongaksa Temple at Wongaksa Temple Site, Seoul)",서울 종로구 종로2가 38-3,"1963년1월 21일지정,2010년12월 27일명칭 변경"
4호,"안양 중초사지 당간지주(安養 中初寺址 幢竿支柱)(Flagpole Supports at Jungchosa Temple Site, Anyang)",경기 안양시 만안구 예술공원로103번길 4 (석수동),"1963년1월 21일지정,2010년12월 27일명칭 변경"
6호,"여주 고달사지 원종대사탑비(驪州 高達寺址 元宗大師塔碑)(Stele for Buddhist Monk Wonjong at Godalsa Temple Site, Yeoju)",경기 여주시 북내면 상교리 419-3,"1963년1월 21일지정,2010년12월 27일명칭 변경"
7호,"여주 고달사지 원종대사탑(驪州 高達寺址 元宗大師塔)(Stupa of Buddhist Monk Wonjong at Godalsa Temple Site, Yeoju)",경기 여주시 북내면 상교리 산46-1,"1963년1월 21일지정,2010년12월 27일명칭 변경"
8호,"여주 고달사지 석조대좌(驪州 高達寺址 石造臺座)(Stone Pedestal at Godalsa Temple Site, Yeoju)",경기 여주시 북내면 상교리 420-5,"1963년1월 21일지정,2010년8월 25일명칭 변경"
9호,"용인 서봉사지 현오국사탑비(龍仁 瑞鳳寺址 玄悟國師塔碑)(Stele for State Preceptor Hyeono at Seobongsa Temple Site, Yongin)",경기 용인시 수지구 신봉동 산110,"1963년1월 21일지정,2010년12월 27일명칭 변경"
10호,"강화 장정리 오층석탑(江華 長井里 五層石塔)(Five-story Stone Pagoda in Jangjeong-ri, Ganghwa)",인천 강화군 하점면 장정리 산193,"1963년1월 21일지정,2010년12월 27일명칭 변경"
11-8호[a],사인비구 제작 동종 - 강화동종(思印比丘 製作 銅鍾 - 江華銅鍾)(Bronze Bell Cast by Buddhist Monk Sain),인천 강화군 하점면 강화대로 994-19 강화역사박물관,"1963년1월 21일지정, 2000년 2월 15일 번호 변경."
12호,"하남 동사지 오층석탑(河南 桐寺址 五層石塔)(Five-story Stone Pagoda at Dongsa Temple Site, Hanam)",경기 하남시 춘궁동 466,"1963년1월 21일지정,2010년12월 27일명칭 변경"
13호,"하남 동사지 삼층석탑(河南 桐寺址 三層石塔)(Three-story Stone Pagoda at Dongsa Temple Site, Hanam)",경기 하남시 춘궁동 465,"1963년1월 21일지정,2010년12월 27일명칭 변경"
14호,"수원 창성사지 진각국사탑비(水原 彰聖寺址 眞覺國師塔碑)(Stele for State Preceptor Jingak at Changseongsa Temple Site, Suwon)",경기 수원시 팔달구 매향동 13-1번지,"1963년1월 21일지정,2010년12월 27일명칭 변경"
15호,"보은 법주사 사천왕 석등(報恩 法住寺 四天王 石燈)(Stone Lantern of the Four Guardian Kings at Beopjusa Temple, Boeun)","충북 보은군 속리산면 법주사로 379, 법주사 (사내리)","1963년1월 21일지정,2010년12월 27일명칭 변경"
16호,"충주 억정사지 대지국사탑비(忠州 億政寺址 大智國師塔碑)(Stele for State Preceptor Daeji at Eokjeongsa Temple Site, Chungju)",충북 충주시 엄정면 비석2길 35-21 (괴동리),"1963년1월 21일지정,2010년12월 27일명칭 변경"
17호,"충주 정토사지 법경대사탑비(忠州 淨土寺址 法鏡大師塔碑)(Stele for Buddhist Monk Beopgyeong at Jeongtosa Temple Site, Chungju)",충북 충주시 동량면 하천리 177-6,"1963년1월 21일지정,2010년12월 27일명칭 변경"
