title,address,telNo
노을이 물드는 언덕,경상남도 거제시 사등면 가조로 565,
충렬사,부산광역시 동래구 충렬대로 345 충렬사 ,051-888-7211
강화산성,인천광역시 강화군 강화읍 국화리 산3번지,032-932-5464
서산꽃게장,충청남도 서산시 한마음5로 92,041-665-8829
망향의 동산(횡성),강원특별자치도 횡성군 갑천면 태기로구방5길 40,"033-345-
033-340-2605"
억불산,전라남도 장흥군 용산면,
풍기인삼갈비,경상북도 영주시 풍기읍 소백로 1933,054-635-2382
광희문,서울특별시 중구 퇴계로 344,02-3369-5882
백장암 삼층석탑,전북특별자치도 남원시 산내면 천왕봉로 447-76,
"서울교통공사 차량기지 (도봉, 모란기지)",서울특별시 성동구 천호대로 346,"02-6311-3218(도봉)<br>
02-6311-3634(모란)"
예천 출렁다리마을,경상북도 예천군 용문면 용문경천로 826,
화천 목재문화체험장,강원특별자치도 화천군 하남면 영서로 5289-11,
학사평 콩꽃마을 순두부촌,강원특별자치도 속초시 원암학사평길 142,
상동호수공원,경기도 부천시 원미구 조마루로 15,
대청호 추동습지,대전광역시 동구 천개동로 41,"042-1330, 042-861-1330"
영동블루와인농원,충청북도 영동군 양산면 호탄길 53-23,043-744-9956
울산 신화마을,울산광역시 남구 여천로66번길 7,
고령예마을,경상북도 고령군 덕곡면 덕운로 816,054-954-5555
청암 하동호 산중호수길,경상남도 하동군 청암면,
대황강 자연휴식공원,전라남도 곡성군 석곡면 석곡2길 13,
해파랑길 35코스,강원특별자치도 강릉시 금진리 105-10,강릉시 관광과 033-640-5126
우로지 자연생태공원,경상북도 영천시 언하공단로 91-12,054-330-6643
캠프향기,대전광역시 동구 산내로 710,
청풍호오토캠핑장,충청북도 제천시 금성면 청풍호로39길 103,
강원평화누리길 1코스 철원 금강산길,강원특별자치도 철원군 갈말읍 삼부연로 51,철원군 건설도시과 033-450-4848
휴파크 오토캠핑장,전라남도 장성군 황룡면 홍길동로 431,010-8554-7756
국립지리산자연휴양림캠핑장,경상남도 함양군 마천면 음정길 152,
콩쥐팥쥐동화마을 (완주벽화마을),전북특별자치도 완주군 이서면 신지앵곡길 234,
방화동 가족휴가촌 오토캠핑장,전북특별자치도 장수군 번암면 방화동로 778,063-350-2474
만우 정육점 식당,경기도 여주시 가남읍 태평로 68,
맛이나식당,충청남도 서산시 해미면 읍성마을4길 25,
스케줄청담,서울특별시 강남구 선릉로152길 37,
선녀풍본점,인천광역시 중구 용유서로 272,
아리랑골목시장(정릉 아리랑 골목시장),서울특별시 성북구 정릉로26가길 36,
아모레퍼시픽미술관,서울특별시 용산구 한강대로 100,
더메이호텔,전북특별자치도 전주시 덕진구 기린대로 800,
한산도유람선,경상남도 통영시 도남로 269-38 유람선터미널,
맘모스회센터,인천광역시 중구 연안부두로33번길 17,
돌창고,경상남도 남해군 봉화로 538,
김천친환경생태공원,경상북도 김천시 대항면 직지사길 118-50,
군위전투전승기념공원 캠핑장,대구광역시 군위군 삼국유사면 동부로 81,0507-1367-3296
아차산 고구려정,서울특별시 광진구 구의동 3,02-450-1395
도둑골캠핑장,경상남도 하동군 옥종면 호계천로 224,"055-883-8887
"
송정역,부산광역시 해운대구 송정중앙로8번길 60,
용호별빛공원,부산광역시 남구 분포로 66-40,
도봉산양고기,서울특별시 도봉구 도봉로191길 99-6,
철마대가한우직판장,부산광역시 기장군 난들길 8 대가,
시골식당,경기도 포천시 호국로 2006,
더몰트하우스 대전죽동점,대전광역시 유성구 죽동로297번길 11,
진동시장,경상남도 창원시 마산합포구 서촌길 3-29  ,055-271-2073
곰소 아리랑 식당,전북특별자치도 부안군 곰소항길 77-1 제일식당,
산경,전북특별자치도 순창군 창덕로 353,
원평지평선청보리한우촌,전북특별자치도 김제시 모악로 17,
느티나무의사랑카페,경상남도 양산시 여락송정로 270 보성산업,
복수산해물탕,강원특별자치도 속초시 엑스포로1길 14,
속풀이부추칼국수황제보쌈유성점,대전광역시 유성구 계룡로74번길 73,
원더스카이,강원특별자치도 강릉시 난설헌로 248  ,033-653-8252
울돌목 스카이워크,전라남도 해남군 문내면 관광레저로 12,061-530-5541 
홍티예술촌,부산광역시 사하구 홍티로 76 (다대동),051-220-4919
보불ATV체험장,경상북도 경주시 천군동,
시와스튜디오,제주특별자치도 제주시 애월읍 애월해안로 177,0507-1344-0762
안마 족욕 카페 전망,전북특별자치도 전주시 완산구 은행로 61 (교동),"0507-1327-7236
"
전북대학교 문회루,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),"063-270-2114
"
영흥도 하늘고래전망대,인천광역시 옹진군 영흥면 영흥북로 74,
세기알해변,제주특별자치도 제주시 구좌읍 김녕리,
슬도아트 ,울산광역시 동구 성끝길 103 (방어동),"052-234-1033
"
경상북도 산림과학박물관,경상북도 안동시 도산면 퇴계로 2189,054-840-8282
분재박물관,서울특별시 서초구 신흥안길 40-10,분재박물관 02-577-0002
동강사진박물관,강원특별자치도 영월군 영월읍 영월로 1909-10,동강사진박물관 033-375-4554
상주시 문화회관,경상북도 상주시 상산로 235,054-856-3013
남해유배문학관,경상남도 남해군 남해읍 남해대로 2745,055-860-8888
장안문(長安門),경기도 수원시 팔달구 정조로 910,
용소계곡,강원특별자치도 홍천군 내촌면 광암리,
"담양장 / 죽물시장 (2, 7일)",전라남도 담양군 담양읍 담주4길 44-8,061-382-3123
임자해변승마공원,전라남도 신안군 임자면 한틀길 194-46,
국녕사(경기),경기도 고양시 덕양구 대서문길 268,02-387-0743
Park1538 포스코역사박물관,경상북도 포항시 남구 동해안로6213번길 14,054-220-7721
제주성지,제주특별자치도 제주시 오현길 61,064-750-7224
계룡산글램핑,충청남도 공주시 반포면 계룡대로 1352,070-5055-0319
송지호관망타워,강원특별자치도 고성군 죽왕면 동해대로 6021,033-680-3556
봉화산(서울),서울특별시 중랑구 신내로21길 ,02-2094-2353
거창축협한우팰리스,경상남도 거창군 거창읍 거함대로 3178,055-943-9204
여차홍포해안도로전망대,경상남도 거제시 남부면 다포리,거제시청 055-639-3000
산동만두 공갈빵,인천광역시 중구 우현로49번길 33,032-764-3449
봉화산근린공원,서울특별시 중랑구 봉화산로45길,"02-2094-2340
"
서현궁 백현점,경기도 성남시 분당구 판교백현로 63,031-708-1141
청암관광농원,경기도 이천시 부발읍 황무로1720번길 74,031-632-5082
미자식당,서울특별시 동작구 노들로 674,
설성식당,전라남도 강진군 병영면 병영성로 92,061-433-1282
신촌 플레이버스,서울특별시 서대문구 연세로5길 11,02-330-1809
청마거리,경상남도 통영시 세병로 5,"통영관광안내소 055-650-0580, 2570"
정강원 관광농원,강원특별자치도 평창군 용평면 금당계곡로 2010-13,0503-5052-1890
태백산 한옥펜션[한국관광 품질인증/Korea Quality],강원특별자치도 태백시 소롯골길 34,
경기도청소년수련원,경기도 안산시 단원구 선감로 255,032-886-6900
강릉오죽한옥마을[한국관광 품질인증/Korea Quality],강원특별자치도 강릉시 죽헌길 114,
킹모텔(구 호텔킹),경상북도 문경시 문경읍 온천2길 16-6,054-571-5558
원조통영돼지국밥,경상남도 통영시 강구안길 8,055-641-6320
오백돈 대전본점,대전광역시 서구 둔산남로105번길 18,"042-483-5641
"
"저동해안산책로 (울릉도, 독도 국가지질공원)",경상북도 울릉군 울릉읍 도동리,054-791-2191 
은포리해안도로,충청남도 보령시 주교면 송학리,
검무산,경상북도 안동시 풍천면 갈전리,
한라산둘레길 돌오름길 (보림농장삼거리~거린사슴오름),제주특별자치도 서귀포시 1100로 1187,064-740-6975
월광수변공원,대구광역시 달서구 월곡로 5,
백양산 웰빙숲,부산광역시 사상구 모라동 산110-1,051-309-2052
상무룡리낚시터,강원특별자치도 양구군 양구읍 상무룡로 786-18,
청주가로수길,충청북도 청주시 흥덕구,
부엉이전시관(해피아울하우스),강원특별자치도 속초시 바람꽃마을길 118,"033-638-8475
"
미르숲,충청북도 진천군 초평면 미르숲길 179,043-539-3588
상소오토캠핑장,대전광역시 동구 산내로 748,
갈릴리농원_본관,경기도 파주시 탄현면 방촌로 1196,"031-942-8400
"
보물섬손맛낚시터,경기도 고양시 덕양구 대곡길 31-8,031-968-1161
북수원온천,경기도 수원시 장안구 서부로 2139,
제천 하늘뜨레 서울캠핑장 ,충청북도 제천시 송학면 송한리 543 ,전화번호 없음
박두진문학길,경기도 안성시 금광면 오흥리 산72-5,031-678-2062
산본IC체육공원,경기도 군포시 산본로 486,031-390-7600
한옥카페 예이제448(예이제448),대전광역시 유성구 북유성대로487번길 37,
장수가든,인천광역시 남동구 수현로14번길 13-7,전화번호 없음
영천오펠GC,경상북도 영천시 고경면 호국로 1221-24," 054-333-2100
"
의성가음지,경상북도 의성군 신평면 덕봉리,054-830-6090 
성남큐브미술관,경기도 성남시 분당구 성남대로 808,031-783-8000
서면미술관,부산광역시 부산진구 동천로 58,"051-805-0555
"
동명동성당,강원특별자치도 속초시 영랑로7길 10-5,
박시춘옛집,경상남도 밀양시 중앙로 324,055-359-5590 
장미의거리		,전라남도 목포시 장미로 40,"061-270-3520
"
유동커피,제주특별자치도 서귀포시 태평로 406-1,
잉꼬칼국수,경기도 구리시 체육관로171번길 11-4 잉꼬칼국수,
코난해변,제주특별자치도 제주시 구좌읍 행원리,"064-783-5889
"
단풍나무,인천광역시 서구 검단로379번길 31-2  ,"032-563-5323
"
엄마밥상,경상북도 칠곡군 팔공산로 157,
다원맛집,경기도 용인시 처인구 경기동로 67 민가네동태해물찜,
황금소 가락본점,서울특별시 송파구 송이로 138 수빌딩,
고모리 뜰안에밥상,경기도 포천시 광릉수목원로 735,
앤더슨씨 청담점,서울특별시 강남구 도산대로55길 7 헤이븐빌딩,
남해시장회센터,경상남도 남해군 화전로 11  ,전화번호 없음
강릉당커피콩빵 안목해변점,강원특별자치도 강릉시 창해로14번길 6,
카페민트,대전광역시 유성구 온천북로 7 레자미 멀티홈,
조치원문화정원,세종특별자치시  수원지길 75-21,
NC큐브 커낼워크,인천광역시 연수구 아트센터대로 107 (송도동),032-723-6300
전주 한옥 마을 한복 색동저고리,전북특별자치도 전주시 완산구 팔달로 126 (전동),0507-1351-2844
아이미제주비치호텔 함덕,제주특별자치도 제주시 조천읍 조함해안로 474,
청주 고구마캠프,충청북도 청주시 상당구 명암로 263 (명암동),
스코그,경기도 광주시 남한산성면 남한산성로 507-18,0507-1314-1176
시안미술관,경상북도 영천시 화산면 가래실로 364,시안미술관 054-338-9391
한국종합무역센터(코엑스),서울특별시 강남구 영동대로 513,02-6000-0114
우리매운탕,충청북도 괴산군 괴산읍 괴강로느티울길 8-2,043-834-0005
태릉국제스케이트장,서울특별시 노원구 화랑로 681 태강릉,
스타필드 하남 ,경기도 하남시 미사대로 750,"대표번호 1833-9001 / 관광안내전화 1330 (한, 영, 일, 중)"
대구북구청소년회관 아트홀,대구광역시 북구 검단로 71-17,053-383-1300
합천박물관,경상남도 합천군 황강옥전로 1558 합천박물관 ,055-930-4882
고대도,충청남도 보령시 오천면 고대도1길 1,041-932-2023
[북한산 둘레길] 6 평창마을길,서울특별시 종로구 평창동,북한산 둘레길 탐방안내센터 02-900-8085~6
에스앤에스,강원특별자치도 홍천군 서면 한서로 2054,에스앤에스 033-435-7873
국립 운문산자연휴양림,경상북도 청도군 운문면 운문로 763,054-371-1323
목화반점(아산),충청남도 아산시 온주길 28-8,041-545-8052
원조연산할머니순대,충청남도 논산시 연산면 황산벌로 1525,
나주 이슬촌마을,전라남도 나주시 노안면 이슬촌길 119,
용소폭포,경기도 가평군 북면 조무락골길 132,
봉서사(서천),충청남도 서천군 한산면 건지산길 113,
마포대교,서울특별시 마포구 마포동,02-3153-8365 
만나,대전광역시 중구 대흥로 138,042-254-2540
일성이준열사동상,서울특별시 중구 동호로 257-8,
서산회관,충청남도 서천군 서면 서인로 318,041-951-7677
횡성자연휴양림,강원특별자치도 횡성군 갑천면 정포로430번길 113,
홍예문,인천광역시 중구 송학동,032-760-6474
안심사(완주),전북특별자치도 완주군 운주면 안심길 372,063-263-7475
안마도,전라남도 영광군 낙월면 안마도,
남해대교,경상남도 남해군 설천면,
도봉산,서울특별시 도봉구 도봉동,02-954-2566
호미곶 등대,경상북도 포항시 남구 호미곶면 해맞이로150번길 20,"054-284-9814
"
미시령계곡,강원특별자치도 인제군 북면 용대2리,
옥성자연휴양림,경상북도 구미시 옥성면 휴양림길 150,
팔당호,경기도 광주시 남종면,031-8008-6920
168계단,부산광역시 동구 영초길197번길 9,"051-253-8253 
"
영랑호 습지생태공원,강원특별자치도 속초시 영랑호반길 329-1,033-639-2690 
청학밸리리조트,경기도 남양주시 별내면 청학리 543-4 일대,031-590-8730
내안의숲오토캠핑장,충청남도 부여군 옥산면 대백제로 336-6,전화번호 없음
청주키즈캠핑장,충청북도 청주시 상당구 낭성면 갈산1길 19,010-3594-4620
거창근대의료박물관,경상남도 거창군 거창읍 시장1길 32,"055-940-8747
"
천생산,경상북도 구미시 천생산길 200,"054-480-5869
"
큰노꼬메(큰노꼬메오름),제주특별자치도 제주시 애월읍 유수암리 산138,
맑은누리캠핑장,충청북도 영동군 상촌면 물한계곡로 1212,전화번호 없음
조개포차,경기도 시흥시 오이도로 215,031-319-5238
뜰채,경기도 용인시 기흥구 기흥단지로 81-7,031-286-7651
임고강변공원,경상북도 영천시 임고면 덕연리,054-330-6891
화덕위에 고등어,경기도 용인시 기흥구 용구대로 2181,전화번호 없음
금이낚시터,경기도 시흥시 금이진말길 159 (금이동),"031-315-9459
"
라마다호텔&스위트평창,강원특별자치도 평창군 대관령면 오목길 107,"033-333-1000		
"
상주곶감공원,경상북도 상주시 외남면 곶감공원길 59-12,054-532-3010
금곡낚시터,경기도 파주시 법원읍 술이홀로1372번길 347,
어우실낚시터,경기도 여주시 점동면 어우실길 65,
만리시장,서울특별시 용산구 효창원로 276,
신사시장,서울특별시 강남구 압구정로29길 72-1,
생말공원,전북특별자치도 군산시 분멀5길 29,"063-454-3305
"
제주공룡동물농장,제주특별자치도 서귀포시 성산읍 난산로 293,"064-784-8338
"
도남지,대구광역시 북구 도남동,대구관광정보센터 053-627-1337
월미문화의거리 & 달빛음악분수,인천광역시 중구 월미로 252,
부민옥,서울특별시 중구 다동길 24-12,"02-777-2345
"
황룡친수공원,광주광역시 광산구 선암동 241-31,광주 광산구 도시공원과 062-960-8679
왕산요트경기장,인천광역시 중구 왕산마리나길 143,
만산동국민여가캠핑장,강원특별자치도 화천군 상서면 만산동로 1042,
스페인마을 카라반,인천광역시 강화군 화도면 해안남로 2669,
풍년활어횟집,경상남도 창원시  어시장8길 (68),
해녀해물다찌,경상남도 통영시 항남2길 25-50,
아리랑가든,충청북도 영동군 학산영동로 1039-20,
간절곶 보광 보리밥 손칼국수,울산광역시 울주군 해맞이로 787,
카페 만디,부산광역시 사하구 오작로 104-7  ,070-7818-1047
온더선셋,경상남도 거제시 성포로 65  ,055-634-2233
별난명태 본점,경기도 파주시 새꽃로 125,
마부시,경기도 안양시 동안구 시민대로 280 평촌샤르망2오피스텔,
베스타,대전광역시 서구 만년로 70,
카페캐빈하우스,세종특별자치시  시목부강로 685-5,
원갈비,인천광역시 서구 심곡로8번길 4 원갈비,
해주가든,전북특별자치도 고창군 선운대로 2781 선운산해주집,
부암동 몽유도원 도이창,서울특별시 종로구 창의문로11길 10,
청림정금자할매집,전북특별자치도 고창군 인천강서길 12 청림정금자할매집,
느루 한정식,부산광역시 금정구 금샘로 478 조은골프연습장 ,051-512-6460
만년한정담 한정식,대전광역시 서구 만년남로3번길 64,
명월갈비,전북특별자치도 군산시 구영7길 59 명월갈비,
수원 지동벽화마을,경기도 수원시 팔달구 지동 301-69,031-228-7609
표선해수욕장 야영장,제주특별자치도 서귀포시 표선면 민속해안로 620,064-760-4474
월전 활어판매장,부산광역시 기장군 기장읍 죽성리,
신동파인힐스,경상북도 칠곡군 지천면 송정원곡길 8,0507-1348-0078
미사리승마공원,경기도 하남시 미사동로37번길 175 (미사동),031-792-7721
그린피아관광호텔,경기도 화성시 안녕동,
안양그린마루,경기도 안양시 만안구 화창로 10 (석수동),031-8045-5399
종로문화원,서울특별시 종로구 율곡로 5,02-2148-4087
국립춘천박물관,강원특별자치도 춘천시 우석로 70,
인천학생과학관,인천광역시 중구 영종대로277번길 74-10,
클레이아크 김해미술관,경상남도 김해시 진례로 275-51 클레이아크 김해미술관,
탄천종합운동장 빙상장,경기도 성남시 분당구 탄천로 215,"031-725-7140, 7143"
국토정중앙천문대,"강원특별자치도 양구군 국토정중앙면 국토정중앙로 (127, 국토정중앙) ","033-480-7257
"
세븐럭카지노(강남코엑스점),서울특별시 강남구 테헤란로87길 58,02-3466-6000
경기북부어린이박물관,경기도 동두천시 평화로2910번길 148-46,031-868-9610
유금와당박물관,서울특별시 종로구 창의문로11가길 4 (부암동),02-394-3451
보련산,충청북도 충주시 노은면 보련골길 78,"043-850-2353
"
금강제화 명동본점,서울특별시 중구 명동8길 30 (명동2가),02-753-9411
"영동중앙시장 / 영동장 (4, 9일)",충청북도 영동군 영동읍 중앙로 21,"043-742-0809
"
한국집,전북특별자치도 전주시 완산구 어진길 119,063-284-2224
선두포저수지,인천광역시 강화군 화도면 덕포길,032-937-9978
칡산에,강원특별자치도 원주시 금불4길 25-5,033-742-0210
충주다목적댐 물 문화관,충청북도 충주시 동량면 지등로 745,043-846-6462
자굴산,경상남도 의령군 칠곡면 자굴산로8길,
독립관,서울특별시 서대문구 통일로 251,02-365-4388
거제시농업개발원,경상남도 거제시 거제면 거제남서로 3577,
따라비 오름,제주특별자치도 서귀포시 표선면 가시리,064-740-6000
길동생태공원,서울특별시 강동구 천호대로 1291,
봉래산(부산),부산광역시 영도구 청학동,
채가네 들깨국수,경상북도 문경시 문경읍 온천1길 7,054-571-8881
월리사(청주),충청북도 청주시 상당구 염티소전로 55-100 월리사 ,043-221-7600
조무락계곡,경기도 가평군 북면 조무락골길,031-582-8830(가평관광안내소)
임꺽정한우마을,경기도 파주시 파평면 화석정로 98,031-954-3999
청도참한우식육식당,경상북도 청도군 화양읍 남성현로 57,054-373-9898
중앙탑 장수네집,충청북도 충주시 중앙탑면 중앙탑길 112-5,043-855-3456
관수옥과 초량왜관 터,부산광역시 중구 용두산길 37-55,
새섬 새연교,제주특별자치도 서귀포시 남성중로 40,새연교 안내소 064-760-3471
정암사(홍성),충청남도 홍성군 광천읍 오서길 625,
용인 웬떡마을,경기도 용인시 처인구 원삼면 어현로 10,
남해 가천 해변과 암수바위,경상남도 남해군 남면 남면로679번길 21,055-860-8631
태백체험공원,강원특별자치도 태백시 소도길 9-11, 033-554-3905
호텔 인터시티,대전광역시 유성구 온천로 92,042-600-6000
태안군 신두리 해안사구,충청남도 태안군 원북면 신두해변길 201-122,041-670-2692
수승대체험휴양마을,경상남도 거창군 위천면 원학길 410,"010-9822-2023
"
상도문돌담마을,강원특별자치도 속초시 상도문1길 30,"033-639-2690
"
삼강나루캠핑장,경상북도 예천군 풍양면 삼강리길 53-23,
양평 물소리길,경기도 양평군 양서면 목왕로 55-10,안내소 031-771-물소리길 협동조합 031-770-1003
잔교리해수욕장,강원특별자치도 양양군 현북면 동해대로 1080,033-670-2518
망치몽돌해수욕장,경상남도 거제시 일운면 망치리 120-2,거제시 해양레저팀 055-639-4241
장안캠프,부산광역시 기장군 장안읍 장안로 18,051-557-3355  
청천 화양동관광농원 초롱이캠핑장,충청북도 괴산군 청천면 다보길 8,전화번호 없음
산아래,충청북도 제천시 봉양읍 앞산로 174,"043-646-3233
"
서랑지,경기도 오산시 지곶동 407-2,
삼낙촌,경기도 포천시 소흘읍 죽엽산로 559,031-543-8881
하방 인공습지(비점오염저감시설),충청북도 충주시 봉방동,043-850-3621
파주출판단지근린공원,경기도 파주시 직지길 469,031-940-8702
관고전통시장,경기도 이천시 중리천로31번길 22,전화번호 없음
샤를몽탁,대전광역시 동구 회남로 162-27,"0507-1321-1925
"
수라예찬 야탑점		,경기도 성남시 분당구 성남대로925번길 16,031-702-0700
석양삼겹살,경상남도 창원시 마산합포구 구산면 해양관광로 1393,전화번호 없음
배다리낚시터,경기도 하남시 서하남로43번길 105-1,전화번호 없음
오창 에딘버러CC,충청북도 청주시 청원구 오창읍 두릉유리로 846,
야미도선착장,전북특별자치도 군산시 옥도면 야미도4길 36,군산시 관광안내소 063-446-5114
부곡체육공원,경기도 의왕시 부곡공원길 6,031-461-5395
진주냉면산홍 본점 (산홍 금산점),경상남도 진주시 금산면 금산로 62,전화번호 없음
회나라식당,인천광역시 옹진군 덕적면 덕적북로 32,010-7652-8242
오션브리즈요트,경상남도 통영시 산양읍 이운길 101,"1661-9210
"
원조남산왕돈까스,서울특별시 중구 소파로 107,02-755-3370
대전 엑스포 아쿠아리움		,대전광역시 유성구 엑스포로 1,"042-607-8852
"
여수국가산단전망대,전라남도 여수시 화치동 산183-4,
금정산성 막걸리,부산광역시 금정구 산성로 453,051-517-0202
가평무릉도원캠핑장,경기도 가평군 상면 임초밤안골로 207,"010-8321-6607
"
거북선마을,경상남도 사천시 용현면 사천대교로 75-61,055-835-0881
부산 칠드런스 뮤지엄,부산광역시 기장군 기장해안로 172,
라메르판지,울산광역시 북구 판지1길 30,
문지리535,경기도 파주시 자유로 3902-10,
툇마루,부산광역시 북구 금곡대로285번길 81 두꺼비빌딩,
다정이네 올레시장 본점,제주특별자치도 서귀포시 동문로 59-1,
40년전통오미냉면,강원특별자치도 고성군 아야진해변길 73 오미냉면,
해누리 용인점,경기도 용인시 처인구 능원로 54,
허밍카페,경기도 화성시 세자로303번길 26,
원조태릉갈비,경기도 남양주시 불암산로 45-1  ,전화번호 없음
청정게장촌,전라남도 여수시 봉산남4길 23-32,
봉순게장 물왕리점,경기도 시흥시 물왕수변로 22,
303화덕 동래점,부산광역시 동래구 차밭골로 37  ,전화번호 없음
바다마을횟집,강원특별자치도 강릉시 정동등명길 23,
수복빵집,경상남도 진주시 촉석로201번길 12-1,
토북베이커리,부산광역시 강서구 낙동남로 526-1  ,전화번호 없음
황토기와집,대전광역시 유성구 대덕대로 1101,
스타빌,제주특별자치도 서귀포시 광평로 34-154,
김천실내테니스장&김천오토캠핑장,경상북도 김천시 초곡길 287-97  ,010-9555-9118
백조한우마을 관평점,대전광역시 유성구 관들2길 8-31  ,042-936-1592
죽천해수욕장,경상북도 포항시 북구 흥해읍 죽천리,전화번호 없음
부일식당,강원특별자치도 평창군 진부면 진부중앙로 98,
수통골장수오리,대전광역시 유성구 수통골로 89,
낙원우드[한국관광 품질인증/Korea Quality],경상북도 안동시 서경지7길 34-3,0507-1442-4700
경주축구공원,경상북도 경주시 황성공원로 30 시민운동장 ,054-750-8554
해와달수상낚시빌리지,경기도 포천시 관인면 냉정리,010-3022-0357
사문진피크닉장,대구광역시 달성군 화원읍 성산리,
금정산성 동문,부산광역시 금정구 장전동,051-519-4092
송림공원,부산광역시 해운대구 우동,
63번길,대전광역시 유성구 관용로63번길 21 (관평동),"042-936-0009
"
제일국수공장,경상북도 포항시 남구 호미로221번길 19-2  ,054-276-2432
롤퀸롤러장,서울특별시 성북구 동소문로20나길 47 (동선동1가),02-925-8080
상대온천관광호텔,경상북도 경산시 남산면 상대리,"053-815-8001					
"
에이치에비뉴 성신여대점,서울특별시 성북구 동소문로 130 (동선동1가),
SeMA 백남준기념관,서울특별시 종로구 종로53길 12-1 (창신동),02–2124–5268
유로호텔,경기도 파주시 지목로 19 (신촌동),
어서어서,경상북도 경주시 포석로 1083 (황남동),010-6625-3958
에이블아트갤러리 ,대전광역시 중구 계룡로904번안길 42 (문화동),"010-2980-7933
"
서울남산국악당,서울특별시 중구 퇴계로34길 28,02-6358-5500
포항문화예술회관,경상북도 포항시 남구 희망대로 850,054-289-7999
충남서산집,인천광역시 강화군 중앙로 1200 충남서산집 ,032-933-8403
부천 원미종합시장,경기도 부천시 조종로49번길 21-3,032-655-6682
외나로도,전라남도 고흥군 고흥읍,
충주고구려비전시관,충청북도 충주시 중앙탑면 감노로 2319,
주문진 방파제,강원특별자치도 강릉시 주문진읍 해안로 1609,주문진관광안내소 033-640-4535
복용승마장,대전광역시 유성구 덕명로56번길 199,042-724-3551
"남해장 (2, 7일)",경상남도 남해군 남해읍 화전로 110,055-864-3592
장암산 활공장,강원특별자치도 평창군 평창읍 여만리,"033-330-2724
"
용마산,서울특별시 중랑구 용마산로62길 53,02-2094-2340
이화원,대전광역시 유성구 월드컵대로 32,042-823-0022
춘천지구 전적비(춘천지구 전적기념관),강원특별자치도 춘천시 수변공원길 45,033-254-3726
호압사(서울),서울특별시 금천구 호암로 278,02-803-4779
홍류동계곡,경상남도 합천군 가야면 가야산로 1502-9, 가야산국립공원 055-930-8005 
내원사(서울),서울특별시 성북구 보국문로 262-151 내원사,
홍천강,강원특별자치도 홍천군 서면 팔봉강변길,033-430-2544
남해 창선도 왕후박나무,경상남도 남해군 창선면 대벽리,
함평 자연생태공원,전라남도 함평군 대동면 학동로 1398-77,산림공원사업소 생태공원운영담당 061-320-3530
속리산 산채비빔밥 거리,충청북도 보은군 속리산면,
웅비탑,충청남도 공주시 백제큰길 2104,041-856-7700
서울 구 러시아공사관,서울특별시 중구 정동길 21-18,02-3396-5882
적벽강(금산),충청남도 금산군 부리면 적벽강로 697,041-750-2256
보광사(파주),경기도 파주시 광탄면 보광로474번길 87,
정읍 전봉준 유적,전북특별자치도 정읍시 이평면 조소1길 20,063-560-2468
용화사(김천),경상북도 김천시 봉산면 봉산1로 160,054-430-0111
3.1독립선언기념탑,서울특별시 서대문구 통일로 251,1577-0606
구절사,충청북도 옥천군 상중길 226 문화재(전통사찰-구절사),
괴산 고산정 및 제월대,충청북도 괴산군 괴산읍 제월리,
팔달사(수원),경기도 수원시 팔달구 행궁로 68,
국청사(경기),경기도 광주시 남한산성면 남한산성로780번길 105,
비슬산 군립공원,대구광역시 달성군 유가읍 일연선사길 99,
적덕식당,대전광역시 동구 우암로 220-3,042-633-4293
"숫돌바위 (울릉도, 독도 국가지질공원)",경상북도 울릉군 울릉읍 독도리,
마이산홍삼족욕카페,전북특별자치도 진안군 진안읍 마이산로 130,063-433-0643
경천애인 징검다리길 ,전북특별자치도 완주군 경천면 경천리 680-3,063-290-2623
아트앤체험캠프,경상남도 고성군 대가면 무량로 251,전화번호 없음
동해안횟집펜션,경상북도 영덕군 남정면 동해대로 4198-5,전화번호 없음
청평다감캠핑장,경기도 가평군 청평면 호반로 886,
초동저수지,경상남도 밀양시 초동면 신호1길 93,"055-359-5114
"
담원두부마을,경기도 광명시 밤일로 27,
용덕지,경기도 용인시 처인구 이동읍 묵리 산81,031-334-7666
풍암호수공원,광주광역시 서구 월드컵서로 71-3,
봉성저수지,경상남도 함안군 여항면 주서1길 50-1,"055-580-3950
"
두바퀴로 가는 자동차,경상북도 경주시 산내면 외칠일부길 278-182,"010-7153-1711
"
사정공원,대전광역시 중구 사정공원로 160,"042-611-2114
"
하오재캠핑장,강원특별자치도 철원군 근남면 하오재로 1235,010-4615-4059
불난그집,경기도 안산시 단원구 대선로 231,"032-889-3557
"
이천돌솥밥,경기도 이천시 신둔면 경충대로 3194,"031-632-2300
"
오륜대전망대,부산광역시 금정구 오륜대로 229,
운정체육공원,경기도 파주시 가람로150번길 41-33,031-940-5235
피노카페,충청남도 태안군 소원면 만리포2길 184,
"영천공설시장(2, 7일)",경상북도 영천시 시장4길 38,"054-331-1772
"
금빛공원,서울특별시 금천구 금하로 668,
유관순열사생가,충청남도 천안시 동남구 병천면 유관순생가길 18-1,"041-564-1223 
"
파도마루		,경기도 안산시 단원구 서위매봉길 40,"010-5281-8877
"
유진참치,인천광역시 계양구 아나지로 466,
장절공신숭겸장군묘역,강원특별자치도 춘천시 서면 신숭겸로 272-21,"033-250-3076
"
경인아라뱃길 아라파크웨이마당,인천광역시 계양구 정서진로 1559,
